AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0.0,0.0,0.63,0.39,0.0,1.2,0.0,0.0,0.0,0.0,2.12,0.59,1.33,0.0,0.56,0.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.05,0.22,0.0,1.49,0.0,0.02,0.11,0.0,2.11,0.51,0.65,0.0,0.98,0.22,0.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,0.0,1.11,0.92,0.0,1.62,0.0,0.0,0.0,0.03,2.31,0.72,1.41,0.0,0.54,0.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.46,0.0,0.82,0.0,0.0,0.0,0.56,0.48,0.0,1.75,0.53,0.0,0.4,2.29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.36,0.0,0.0,1.3,0.3,0.0,0.0,0.54,0.48,0.0,1.29,0.39,0.0,0.68,1.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.58,0.32,0.49,0.86,0.79,0.91,0.25,1.92,1.57,1.86,0.0,0.04,0.93,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.19,0.09,0.16,0.64,0.9,0.87,0.22,1.49,1.05,1.79,0.0,0.0,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.88,1.06,1.24,0.38,1.8,1.02,1.69,0.0,0.0,0.38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.43,0.91,1.37,0.71,1.69,0.81,0.97,0.0,0.0,0.26,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.31,0.94,1.15,0.76,1.61,0.32,0.73,0.0,0.0,0.37,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.08,0.95,1.35,0.74,0.71,0.0,0.0,0.12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.63,0.77,0.0,0.73,0.0,0.0,0.0,0.1,1.16,0.12,1.26,1.05,0.0,0.0,0.65,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
